numThreads,type,nanoseconds
8,Faasm local snap,119770162
8,Faasm local snap,118987966
8,Faasm local snap,109355665
8,Faasm local snap,129537223
8,Faasm local snap,112639235
8,Faasm local snap,122745661
8,Faasm local snap,110041995
8,Faasm local snap,121410272
8,Faasm local snap,113594356
8,Faasm local snap,114848964
8,Faasm local snap,114403769
8,Faasm local snap,118805515
8,Faasm local snap,116287437
8,Faasm local snap,116587742
8,Faasm local snap,132696473
8,Faasm local snap,119990583
8,Faasm local snap,121001184
8,Faasm local snap,116309937
8,Faasm local snap,116616701
8,Faasm local snap,115771068
8,Faasm local snap,126232080
8,Faasm local snap,112356805
8,Faasm local snap,116040060
8,Faasm local snap,113173974
8,Faasm local snap,120045654
8,Faasm local snap,115284917
8,Faasm local snap,117435617
8,Faasm local snap,116018213
8,Faasm local snap,111993993
8,Faasm local snap,126790381
8,Faasm local snap,115587900
8,Faasm local snap,120822852
8,Faasm local snap,118726032
8,Faasm local snap,140139076
8,Faasm local snap,117740248
8,Faasm local snap,113605777
8,Faasm local snap,136824438
8,Faasm local snap,127452744
8,Faasm local snap,135594475
8,Faasm local snap,120341136
8,Faasm local snap,131411337
8,Faasm local snap,115065339
8,Faasm local snap,132313288
8,Faasm local snap,119905816
8,Faasm remote snap,128550217
8,Faasm remote snap,129324102
8,Faasm remote snap,127174814
8,Faasm remote snap,120344507
8,Faasm remote snap,127299417
8,Faasm remote snap,123499789
8,Faasm remote snap,141352406
8,Faasm remote snap,126747125
8,Faasm remote snap,126614021
8,Faasm remote snap,121068301
8,Faasm remote snap,132921792
8,Faasm remote snap,128637174
8,Faasm remote snap,146281549
8,Faasm remote snap,135134853
8,Faasm remote snap,126961926
8,Faasm remote snap,127393912
8,Faasm remote snap,134574197
8,Faasm remote snap,129299415
8,Faasm remote snap,126850752
8,Faasm remote snap,125293108
8,Faasm remote snap,135808730
8,Faasm remote snap,126869399
8,Faasm remote snap,130784342
8,Faasm remote snap,124581535
8,Faasm remote snap,139510659
8,Faasm remote snap,130165592
8,Faasm remote snap,126661518
8,Faasm remote snap,128304260
8,Faasm remote snap,131371807
8,Faasm remote snap,133221371
8,Faasm remote snap,128217899
8,Faasm remote snap,131773517
8,Faasm remote snap,124268427
