,Loop size,Number of threads,System,Time (ms),Throughput (ops/msec)
441,Huge,36,Local,10963375,164.183018459188
442,Huge,36,Local,11099005,162.1766996230743
443,Huge,36,Local,10820233,166.35501287264333
444,Huge,36,Local,11016033,163.39820332782227
445,Huge,38,Local,11145491,161.5002874256504
446,Huge,38,Local,10668960,168.713726548792
447,Huge,38,Local,10632497,169.29231205049953
448,Huge,38,Local,11212081,160.54111631908475
449,Huge,38,Local,10556051,170.51831219837797
450,Huge,38,Local,10841112,166.03462818205364
451,Huge,38,Local,10744171,167.53270215077552
452,Huge,38,Local,10968953,164.09952709251283
453,Huge,38,Local,11128372,161.74872658821974
454,Huge,38,Local,10887227,165.3313557253835
455,Huge,40,Local,11031859,163.16379678166663
456,Huge,40,Local,11033680,163.13686820716208
457,Huge,40,Local,11210330,160.56619207463118
458,Huge,40,Local,10732369,167.71693183490058
459,Huge,40,Local,11019141,163.35211610415004
460,Huge,40,Local,11815656,152.34025093486133
461,Huge,40,Local,11074406,162.53693426085337
462,Huge,40,Local,10888678,165.3093240520107
463,Huge,40,Local,10827682,166.24056746402417
464,Huge,40,Local,11542209,155.94935076985698
776,Huge,4,Distributed,44076372,40.83820691957133
778,Huge,6,Distributed,31431009,57.268285596558485
780,Huge,6,Distributed,31440832,57.25039337381403
782,Huge,8,Distributed,24768873,72.67185713294262
784,Huge,8,Distributed,24375174,73.84562670198785
786,Huge,10,Distributed,20537018,87.64660964897631
788,Huge,10,Distributed,19840907,90.72165904512329
790,Huge,12,Distributed,16460967,109.34959045844633
792,Huge,12,Distributed,17023909,105.73364789485188
794,Huge,12,Distributed,16703734,107.76033670076403
796,Huge,14,Distributed,14497146,124.16236961399161
798,Huge,14,Distributed,14539200,123.80323539121822
800,Huge,14,Distributed,14521408,123.95492227750918
802,Huge,14,Distributed,14518180,123.9824826527843
804,Huge,16,Distributed,13067148,137.75002777958895
806,Huge,16,Distributed,12632194,142.49306177533373
808,Huge,16,Distributed,12863070,139.9354897392302
810,Huge,16,Distributed,12651074,142.280410343027
812,Huge,18,Distributed,11403373,157.84803320912155
814,Huge,18,Distributed,11182794,160.96156291531437
816,Huge,18,Distributed,11432698,157.44315121417534
818,Huge,18,Distributed,11457822,157.09791965698193
820,Huge,20,Distributed,10400137,173.0746431513354
822,Huge,20,Distributed,10218468,176.1516501299412
824,Huge,20,Distributed,10341362,174.05831069447137
826,Huge,20,Distributed,10345124,173.99501446285225
828,Huge,20,Distributed,10958996,164.24862277529803
830,Huge,22,Distributed,9520157,189.0725121444951
832,Huge,22,Distributed,9469579,190.0823679701072
834,Huge,22,Distributed,9466155,190.15112260469007
836,Huge,22,Distributed,9627011,186.9739216045354
838,Huge,22,Distributed,9840802,182.91192120317024
840,Huge,24,Distributed,8749294,205.73088525771337
842,Huge,24,Distributed,8690881,207.11364014764442
